q_soc,q_vrc,r,mae,rmse,bias,nis_mean,nis_median,nis_exceed_3_84,nis_exceed_6_63,n_samples,score
1e-06,1e-07,3e-05,0.0008925508681804332,0.0060109499830464765,0.00026919006325456537,0.8224508292882545,0.0022683382055890657,0.009633292659430994,0.008552223149872626,93426,0.7920130384959811
1e-09,1e-06,3e-05,0.002028848034860263,0.004769734304743103,-0.0009362215078025649,0.627334533417331,0.05914625834187555,0.007610301200950485,0.005630124376511891,93426,0.8590741720339663
1e-08,1e-06,3e-05,0.0013737047770404356,0.004472068913293429,-0.0002274743882177268,0.544403228864847,0.02503023996032908,0.007385524372230428,0.006561342666923554,93426,0.9130577673175346
1e-07,1e-06,3e-05,0.0008526442815513703,0.004155196304157542,-6.238456845153871e-06,0.4399662738134582,0.005557647986407824,0.007578190225419048,0.0066790829105388225,93426,0.9860215346255443
1e-09,3e-06,1e-05,0.0010111534001504855,0.0018733203185783088,-0.0006380553151654133,0.20423463534258102,0.03552577409987413,0.0035750219424999464,0.002429730481878706,93426,0.9873146379683785
1e-08,3e-06,1e-05,0.0006972480838988951,0.0016838635922646276,-0.000224030870915152,0.1617519416356135,0.015534545871209523,0.004827349988225976,0.003960353648877186,93426,1.0130084462338393
1e-07,3e-06,1e-05,0.000499993379118971,0.0018133293149583032,-9.083157242909223e-05,0.15668372849671658,0.005458166052525545,0.0055551987669385395,0.00478453535418406,93426,1.032211337736767
1e-08,1e-05,1e-05,0.0005504430262628576,0.0007889185200143679,-0.0003180845787456721,0.023520995360764265,0.0072750806805304095,9.633292659430993e-05,0.0,93426,1.0554190231039697
1e-07,3e-05,1e-05,0.0003992048061181314,0.0006466645488049644,-0.00016303067719238367,0.007950531202670643,0.001992792931924153,0.0,0.0,93426,1.0567159236778259
1e-07,1e-05,1e-05,0.0004053496640663173,0.0008304963215910338,-0.0001417614076425496,0.021291666637810545,0.003513032687847271,0.0015841414595508744,0.00025688780425149317,93426,1.0628069240553197
1e-09,1e-05,1e-05,0.0008390056579111883,0.0011685624559752156,-0.0006800515575772418,0.05275940720096991,0.01592069756122383,0.0,0.0,93426,1.0640968383965517
1e-08,3e-05,1e-05,0.0005522415374998838,0.0007622896977060231,-0.00038961491895571484,0.012013857714739144,0.004053481673106983,0.0,0.0,93426,1.0642151120558632
1e-07,3e-05,3e-05,0.0004705886657496181,0.0007531893996154035,-0.00020626505238346006,0.006816532227650125,0.001809070083154385,0.0,0.0,93426,1.0685024077338903
5e-07,3e-05,1e-05,0.0003420777513212402,0.0008347594187467187,-0.00010942547166899868,0.00893461158823077,0.001101326570765336,1.0703658510478882e-05,0.0,93426,1.0745466821156964
1e-08,3e-05,3e-05,0.0006815920909508485,0.0009253012754271516,-0.0004972109313062901,0.010959733954021155,0.003961322832959342,0.0,0.0,93426,1.081570393588694
1e-08,1e-05,3e-05,0.0007435359776775582,0.0010452854762391828,-0.00045146067587587154,0.02074830677186175,0.006767977424492161,0.0,0.0,93426,1.0837802408520565
5e-07,3e-05,3e-05,0.00038343084940571713,0.0009221323287680884,-0.00013200116388612738,0.007578681579016262,0.0009501259017021871,0.0,0.0,93426,1.0846345512977926
1e-07,1e-05,3e-05,0.0005148707010989806,0.001017444546193665,-0.00019421098429888036,0.017165768492025568,0.0030581746669691096,0.0012202170701945925,4.281463404191553e-05,93426,1.08523160929648
1e-09,3e-05,1e-05,0.0008028238326024532,0.001171267191061555,-0.0006774628881894255,0.028760332201940613,0.00675950798738855,0.0,0.0,93426,1.0883663869042148
1e-07,3e-05,0.0001,0.0006412511140189633,0.0009997190905074891,-0.00030066001898953435,0.0056929414773103,0.0015978829918419407,0.0,0.0,93426,1.0942789675734386
1e-06,3e-05,1e-05,0.00033095247862407904,0.0010453947262906473,-0.00010526051195517905,0.009678584274714299,0.0008389226905568749,0.00019266585318861986,0.0,93426,1.0949572212809446
5e-07,3e-06,1e-05,0.0004335672335816513,0.0020158981665388364,-7.82295053722863e-05,0.11267793825796714,0.0027289521507762407,0.005062830475456511,0.004281463404191553,93426,1.0957247570378363
1e-08,3e-06,3e-05,0.0009448684952007296,0.0014982767012212974,-0.00041272208582097253,0.05445478647430434,0.01402972958000449,0.002654507310598763,0.001348660972320339,93426,1.0980487982754452
1e-09,3e-06,3e-05,0.0014462010161456153,0.0019949831562360116,-0.0010541844305146835,0.09898256626106011,0.034376265749623304,0.0014021792648727335,0.00022477682872005652,93426,1.1014416158236973
5e-07,1e-05,1e-05,0.00035260631658372445,0.0012524807486082896,-0.0001163501703204871,0.025137083251026558,0.00178188756069106,0.0021193243850748185,0.001370068289341297,93426,1.102540722091681
1e-06,3e-05,3e-05,0.0003603582999038182,0.001112954145757771,-0.00012156888407055464,0.008238326296399626,0.0007030630233990071,4.281463404191553e-05,0.0,93426,1.1030784955963984
5e-07,3e-05,0.0001,0.0004880877500924796,0.0011151810422123797,-0.00018129261079491803,0.005855761147555773,0.0007896634441074497,0.0,0.0,93426,1.105662343073682
1e-09,1e-05,3e-05,0.0011678327956827284,0.0016152461446161572,-0.0009661975606971699,0.05027510257642718,0.015692368728434204,0.0,0.0,93426,1.1112495118851886
1e-07,3e-06,3e-05,0.0006012048657360203,0.0015865987006358799,-0.0001849640832354873,0.04980595203941143,0.0045106183709047,0.003243208528675101,0.0021193243850748185,93426,1.1125948466735889
5e-07,1e-06,3e-05,0.000644372847193594,0.0033344382427523845,1.6661731474768642e-06,0.22768278102546413,0.0023815351755941934,0.0068182304711750475,0.005608717059490934,93426,1.1147788755448529
5e-07,1e-05,3e-05,0.0004090730246110934,0.0013607618511297433,-0.00014199618268048096,0.019458530129834777,0.0013674033513972413,0.0018303256052918887,0.0010382548755164516,93426,1.1185710726613018
1e-09,3e-05,3e-05,0.0010081149281239157,0.0014640243819321198,-0.0008645449700379619,0.0277095962412697,0.006659166817021567,0.0,0.0,93426,1.1186928419519422
1e-08,3e-05,0.0001,0.0009742814124173203,0.0013039364335588083,-0.0007333462372908269,0.010086956935234296,0.003919183942501868,0.0,0.0,93426,1.1203066864206466
1e-06,3e-05,0.0001,0.0004385483680215384,0.00126575252097257,-0.00015770611802939523,0.006217583098280096,0.0005459038849009595,0.0,0.0,93426,1.120357668998977
1e-07,1e-05,0.0001,0.000749703053269001,0.0013631994065012559,-0.0002984293414688486,0.012784458562641897,0.0027286648325116113,0.0005244792670134652,0.0,93426,1.1237977217209905
1e-06,1e-05,1e-05,0.0003471716773387606,0.0014955265059563864,-0.00011618868279155156,0.02287364921418053,0.0013874123257310842,0.0019266585318861986,0.0012202170701945925,93426,1.1288625477175958
1e-06,3e-06,1e-05,0.0004174335433429412,0.002053575287560082,-8.091603236449389e-05,0.07869154829872653,0.0021998763228409596,0.004602573159505919,0.003628540235052341,93426,1.132595807272087
1e-07,3e-05,0.0003,0.0009382817991286863,0.0014045087695510835,-0.0004578071253615773,0.004805946160307939,0.0014646041079564368,0.0,0.0,93426,1.1356449307948004
5e-07,3e-05,0.0003,0.0006751015374822804,0.0014010721797320634,-0.0002615034509847872,0.004266051191645862,0.0006883795500230675,0.0,0.0,93426,1.1358411667815604
